case_id,application_date,region_id,country_of_citizenship,sex,age_group,decision,protection_type
1,2024-11-01,1,Georgia,Female,18-24,Rejected,None
2,2022-09-01,2,Nigeria,Female,35-44,Rejected,None
3,2023-11-01,4,Turkey,Male,25-34,Pending,None
4,2023-02-01,2,Senegal,Male,25-34,Pending,None
5,2023-08-01,7,India,Female,35-44,Pending,None
6,2025-05-01,10,Syria,Female,45-54,Accepted,Refugee status
7,2025-04-01,3,Italy,Male,18-24,Accepted,Refugee status
8,2024-03-01,3,Senegal,Male,45-54,Pending,None
9,2022-06-01,6,Ukraine,Male,18-24,Rejected,None
10,2023-06-01,6,Syria,Male,35-44,Pending,None
11,2024-11-01,1,Afghanistan,Male,45-54,Rejected,None
12,2024-05-01,2,Afghanistan,Male,25-34,Rejected,None
13,2024-03-01,3,Georgia,Male,45-54,Pending,None
14,2023-07-01,1,Ukraine,Male,35-44,Rejected,None
15,2025-11-01,6,China,Male,55+,Rejected,None
16,2025-08-01,8,Portugal,Female,25-34,Rejected,None
17,2024-07-01,7,Senegal,Male,18-24,Accepted,Temporary protection
18,2025-06-01,5,Ukraine,Female,35-44,Rejected,None
19,2022-09-01,7,Italy,Male,25-34,Accepted,Subsidiary protection
20,2022-08-01,1,Syria,Male,35-44,Pending,None
21,2024-11-01,1,Syria,Female,25-34,Withdrawn,None
22,2024-09-01,3,Afghanistan,Male,18-24,Withdrawn,None
23,2022-12-01,2,Portugal,Male,25-34,Pending,None
24,2025-05-01,8,Portugal,Male,35-44,Accepted,Refugee status
25,2024-12-01,7,China,Male,25-34,Withdrawn,None
26,2022-11-01,2,China,Male,25-34,Accepted,Refugee status
27,2024-06-01,1,Algeria,Female,35-44,Accepted,Temporary protection
28,2025-06-01,1,Nigeria,Male,35-44,Pending,None
29,2025-01-01,2,Ukraine,Male,25-34,Accepted,Subsidiary protection
30,2023-09-01,5,Ukraine,Male,25-34,Accepted,Subsidiary protection
31,2025-04-01,8,Senegal,Male,35-44,Rejected,None
32,2023-03-01,1,Georgia,Male,25-34,Accepted,Temporary protection
33,2025-11-01,7,Syria,Male,35-44,Accepted,Refugee status
34,2025-12-01,6,Turkey,Female,25-34,Pending,None
35,2023-03-01,2,Côte d'Ivoire,Male,35-44,Rejected,None
36,2024-10-01,1,Tunisia,Female,18-24,Pending,None
37,2025-11-01,1,Spain,Female,25-34,Rejected,None
38,2023-02-01,4,Ukraine,Female,25-34,Rejected,None
39,2024-11-01,7,Ukraine,Male,25-34,Rejected,None
40,2024-02-01,5,Nigeria,Male,35-44,Pending,None
41,2023-10-01,6,Nigeria,Male,25-34,Rejected,None
42,2024-07-01,3,Tunisia,Male,18-24,Pending,None
43,2023-11-01,1,Italy,Female,45-54,Pending,None
44,2024-11-01,1,Algeria,Male,18-24,Rejected,None
45,2025-11-01,7,Senegal,Male,35-44,Pending,None
46,2022-11-01,3,Turkey,Male,35-44,Accepted,Refugee status
47,2022-09-01,8,India,Female,45-54,Withdrawn,None
48,2024-06-01,2,China,Male,45-54,Pending,None
49,2025-11-01,1,Afghanistan,Male,18-24,Rejected,None
50,2025-05-01,5,Italy,Male,45-54,Accepted,Refugee status
51,2023-08-01,4,Tunisia,Female,18-24,Accepted,Subsidiary protection
52,2025-03-01,6,Tunisia,Male,25-34,Accepted,Temporary protection
53,2025-08-01,1,Nigeria,Male,18-24,Accepted,Refugee status
54,2023-03-01,1,Italy,Male,25-34,Rejected,None
55,2022-06-01,4,Portugal,Female,35-44,Rejected,None
56,2025-11-01,4,Guinea,Female,45-54,Accepted,Temporary protection
57,2022-08-01,1,Nigeria,Male,25-34,Rejected,None
58,2022-01-01,2,Spain,Male,25-34,Accepted,Subsidiary protection
59,2023-04-01,5,Nigeria,Male,35-44,Rejected,None
60,2025-02-01,4,India,Male,25-34,Pending,None
61,2024-12-01,1,Algeria,Female,45-54,Pending,None
62,2023-04-01,9,Georgia,Male,25-34,Pending,None
63,2024-09-01,1,Ukraine,Female,25-34,Accepted,Subsidiary protection
64,2025-10-01,1,Côte d'Ivoire,Male,25-34,Pending,None
65,2022-01-01,1,Nigeria,Female,25-34,Accepted,Subsidiary protection
66,2025-06-01,1,Senegal,Male,45-54,Withdrawn,None
67,2024-05-01,5,India,Male,18-24,Pending,None
68,2025-07-01,1,Turkey,Male,18-24,Accepted,Subsidiary protection
69,2022-03-01,1,Bangladesh,Female,18-24,Pending,None
70,2023-01-01,1,China,Male,35-44,Accepted,Subsidiary protection
71,2023-07-01,1,Bangladesh,Female,25-34,Pending,None
72,2025-03-01,2,Italy,Male,18-24,Rejected,None
73,2024-09-01,1,Guinea,Male,45-54,Pending,None
74,2023-04-01,1,Portugal,Female,35-44,Withdrawn,None
75,2022-12-01,7,Georgia,Male,45-54,Pending,None
76,2023-10-01,2,Tunisia,Female,18-24,Rejected,None
77,2022-08-01,1,Côte d'Ivoire,Male,25-34,Pending,None
78,2025-08-01,4,China,Male,35-44,Pending,None
79,2025-04-01,1,India,Male,18-24,Rejected,None
80,2024-11-01,1,China,Male,55+,Pending,None
81,2023-11-01,1,Tunisia,Male,55+,Accepted,Subsidiary protection
82,2024-07-01,1,India,Female,25-34,Rejected,None
83,2023-01-01,1,Spain,Male,55+,Accepted,Subsidiary protection
84,2022-07-01,1,Ukraine,Male,45-54,Pending,None
85,2022-12-01,3,Syria,Female,35-44,Rejected,None
86,2024-02-01,1,Afghanistan,Female,18-24,Rejected,None
87,2025-11-01,1,Spain,Female,18-24,Rejected,None
88,2022-06-01,8,Italy,Male,25-34,Rejected,None
89,2023-03-01,5,Portugal,Male,35-44,Rejected,None
90,2022-04-01,6,China,Male,25-34,Accepted,Refugee status
91,2023-10-01,2,Bangladesh,Male,45-54,Pending,None
92,2025-10-01,4,Italy,Female,35-44,Rejected,None
93,2022-03-01,6,Italy,Male,35-44,Rejected,None
94,2024-05-01,2,Guinea,Male,25-34,Rejected,None
95,2022-08-01,7,Guinea,Female,35-44,Rejected,None
96,2022-01-01,6,India,Male,18-24,Pending,None
97,2024-02-01,1,China,Male,35-44,Pending,None
98,2023-11-01,1,Tunisia,Male,25-34,Pending,None
