support_id,region_id,support_date,program,education_level,age_group,sex,completed,employment_outcome
1,1,2022-11-01,Language course,Master,18-24,Female,Yes,Training
2,8,2025-12-01,Job placement,Master,35-44,Female,Yes,Training
3,8,2025-07-01,Job placement,Master,35-44,Male,No,Employed
4,4,2023-10-01,Employer matching,Lower secondary,25-34,Female,No,Still unemployed
5,7,2025-11-01,Skills training,Bachelor,45-54,Female,Yes,Training
6,8,2023-02-01,CV workshop,Master,35-44,Male,Yes,Employed
7,8,2025-11-01,Skills training,Master,35-44,Female,Yes,Employed
8,10,2024-06-01,CV workshop,Master,35-44,Male,Yes,Employed
9,6,2022-02-01,CV workshop,Lower secondary,35-44,Female,Yes,Employed
10,4,2024-09-01,Employer matching,Upper secondary,18-24,Female,No,Still unemployed
11,5,2025-04-01,CV workshop,Lower secondary,35-44,Female,No,Still unemployed
12,5,2023-03-01,Employer matching,Upper secondary,25-34,Female,No,Training
13,2,2024-07-01,Language course,Bachelor,45-54,Female,No,Employed
14,3,2023-08-01,Language course,Doctorate,35-44,Female,Yes,Still unemployed
15,3,2025-12-01,CV workshop,Master,35-44,Female,Yes,Training
16,6,2025-10-01,Language course,Bachelor,35-44,Male,Yes,Employed
17,5,2024-04-01,Job placement,Master,25-34,Male,Yes,Employed
18,6,2024-02-01,Skills training,Bachelor,35-44,Female,Yes,Employed
19,1,2022-04-01,Job placement,Lower secondary,45-54,Female,Yes,Employed
20,9,2025-12-01,Job placement,Bachelor,25-34,Male,Yes,Employed
21,9,2024-08-01,Language course,Lower secondary,25-34,Male,No,Employed
22,8,2024-01-01,Language course,Upper secondary,55+,Male,Yes,Employed
23,7,2023-05-01,Employer matching,Upper secondary,45-54,Male,Yes,Employed
24,5,2022-08-01,Job placement,Doctorate,18-24,Female,Yes,Employed
25,2,2022-11-01,Language course,Upper secondary,25-34,Male,No,Employed
26,2,2025-03-01,Job placement,Master,45-54,Male,Yes,Employed
27,4,2023-02-01,Job placement,Upper secondary,45-54,Female,Yes,Employed
28,3,2025-06-01,Skills training,Bachelor,25-34,Female,Yes,Employed
29,4,2025-12-01,Job placement,Master,25-34,Female,Yes,Still unemployed
30,6,2022-02-01,Language course,Bachelor,25-34,Female,Yes,Employed
31,5,2025-03-01,Employer matching,Bachelor,35-44,Female,Yes,Employed
32,10,2022-12-01,CV workshop,Master,18-24,Male,Yes,Still unemployed
33,2,2024-01-01,Job placement,Upper secondary,25-34,Female,No,Employed
34,7,2023-10-01,Language course,Upper secondary,18-24,Female,Yes,Employed
35,3,2023-05-01,Job placement,Bachelor,55+,Male,Yes,Still unemployed
36,3,2025-09-01,Skills training,Upper secondary,25-34,Male,Yes,Employed
37,5,2022-11-01,Employer matching,Bachelor,35-44,Female,Yes,Training
38,10,2025-07-01,Employer matching,Master,25-34,Male,Yes,Still unemployed
39,10,2025-06-01,Skills training,Master,18-24,Male,No,Employed
40,9,2024-08-01,Job placement,Upper secondary,18-24,Female,Yes,Still unemployed
41,1,2024-12-01,Job placement,Upper secondary,18-24,Male,Yes,Employed
42,5,2025-01-01,Employer matching,Master,35-44,Male,No,Employed
43,9,2024-09-01,Job placement,Bachelor,35-44,Female,Yes,Employed
44,7,2022-07-01,Employer matching,Master,25-34,Female,Yes,Employed
45,4,2023-06-01,Employer matching,Doctorate,55+,Male,Yes,Training
46,2,2024-04-01,Job placement,Upper secondary,25-34,Male,No,Employed
47,5,2023-12-01,CV workshop,Master,45-54,Male,No,Still unemployed
48,10,2025-02-01,Job placement,Upper secondary,35-44,Male,Yes,Employed
49,3,2025-10-01,Skills training,Upper secondary,25-34,Male,Yes,Employed
50,2,2022-12-01,Job placement,Master,25-34,Male,No,Employed
51,9,2025-04-01,Job placement,Upper secondary,25-34,Female,Yes,Employed
52,9,2022-07-01,Employer matching,Lower secondary,35-44,Male,Yes,Employed
53,8,2025-11-01,CV workshop,Bachelor,35-44,Female,Yes,Employed
54,5,2024-05-01,CV workshop,Upper secondary,25-34,Female,Yes,Still unemployed
55,5,2025-11-01,Language course,Lower secondary,55+,Female,Yes,Training
56,8,2025-09-01,CV workshop,Upper secondary,45-54,Male,Yes,Employed
57,1,2022-02-01,Language course,Upper secondary,25-34,Female,No,Still unemployed
58,4,2025-11-01,Language course,Bachelor,25-34,Female,No,Still unemployed
59,1,2025-12-01,Language course,Bachelor,55+,Female,No,Still unemployed
60,6,2023-09-01,Job placement,Upper secondary,55+,Male,No,Employed
61,10,2023-10-01,Employer matching,Bachelor,25-34,Male,Yes,Training
62,6,2023-11-01,Employer matching,Master,45-54,Female,Yes,Employed
63,1,2024-03-01,CV workshop,Master,55+,Male,Yes,Employed
64,5,2024-07-01,Employer matching,Upper secondary,45-54,Female,Yes,Employed
65,6,2022-04-01,CV workshop,Bachelor,35-44,Male,Yes,Still unemployed
66,5,2022-02-01,Job placement,Upper secondary,25-34,Female,Yes,Employed
67,5,2022-04-01,Skills training,Upper secondary,35-44,Male,Yes,Employed
68,10,2024-03-01,Skills training,Master,35-44,Female,Yes,Employed
69,3,2024-03-01,CV workshop,Lower secondary,25-34,Male,No,Still unemployed
70,5,2024-07-01,Skills training,Doctorate,35-44,Male,Yes,Employed
71,4,2022-12-01,Skills training,Upper secondary,35-44,Male,No,Still unemployed
72,2,2022-07-01,CV workshop,Bachelor,35-44,Female,Yes,Still unemployed
73,10,2023-02-01,Employer matching,Bachelor,45-54,Male,Yes,Employed
74,5,2025-04-01,Skills training,Bachelor,55+,Male,Yes,Still unemployed
75,5,2023-10-01,Language course,Bachelor,25-34,Female,Yes,Employed
76,10,2024-02-01,Employer matching,Lower secondary,45-54,Female,No,Employed
77,3,2022-06-01,Employer matching,Upper secondary,35-44,Male,Yes,Employed
78,3,2025-06-01,Skills training,Master,25-34,Female,Yes,Employed
79,9,2022-09-01,CV workshop,Master,35-44,Male,Yes,Still unemployed
80,4,2024-03-01,CV workshop,Bachelor,35-44,Male,No,Employed
81,5,2025-12-01,Language course,Doctorate,45-54,Female,Yes,Employed
82,3,2023-03-01,Skills training,Lower secondary,25-34,Male,Yes,Still unemployed
83,3,2023-11-01,CV workshop,Master,45-54,Male,No,Employed
84,4,2023-06-01,Employer matching,Bachelor,25-34,Male,No,Training
85,3,2023-02-01,CV workshop,Master,25-34,Female,No,Still unemployed
86,5,2025-10-01,Skills training,Bachelor,35-44,Male,Yes,Employed
87,9,2024-12-01,CV workshop,Master,35-44,Male,No,Still unemployed
88,4,2023-10-01,Employer matching,Doctorate,18-24,Male,Yes,Employed
89,3,2024-05-01,Employer matching,Master,25-34,Male,Yes,Training
90,2,2024-01-01,Employer matching,Lower secondary,25-34,Female,Yes,Employed
91,5,2025-10-01,Job placement,Master,55+,Female,Yes,Employed
92,4,2025-01-01,Language course,Bachelor,55+,Female,No,Still unemployed
93,4,2023-04-01,CV workshop,Upper secondary,25-34,Male,Yes,Employed
94,5,2025-04-01,Skills training,Master,45-54,Male,Yes,Employed
95,6,2023-08-01,Skills training,Bachelor,35-44,Female,Yes,Employed
96,5,2025-09-01,Language course,Bachelor,25-34,Male,No,Employed
97,2,2022-02-01,Employer matching,Master,45-54,Male,Yes,Training
98,7,2024-10-01,Employer matching,Master,55+,Female,No,Still unemployed
99,6,2024-07-01,Employer matching,Bachelor,25-34,Female,No,Still unemployed
100,8,2023-03-01,Language course,Bachelor,25-34,Male,Yes,Training
101,8,2024-06-01,CV workshop,Upper secondary,55+,Female,Yes,Employed
102,9,2022-08-01,Job placement,Bachelor,35-44,Male,Yes,Employed
103,8,2022-08-01,Skills training,Doctorate,25-34,Male,Yes,Training
104,3,2023-11-01,Job placement,Upper secondary,18-24,Female,Yes,Employed
105,2,2025-05-01,Employer matching,Upper secondary,35-44,Female,Yes,Employed
106,7,2022-05-01,Employer matching,Bachelor,35-44,Male,Yes,Training
107,2,2023-01-01,Employer matching,Bachelor,25-34,Male,Yes,Employed
108,2,2025-08-01,Employer matching,Lower secondary,35-44,Male,Yes,Employed
109,7,2023-10-01,CV workshop,Lower secondary,25-34,Female,Yes,Still unemployed
110,7,2025-12-01,CV workshop,Bachelor,25-34,Female,No,Still unemployed
111,2,2022-10-01,CV workshop,Upper secondary,25-34,Female,Yes,Employed
112,10,2024-02-01,CV workshop,Bachelor,45-54,Male,No,Still unemployed
113,1,2023-06-01,CV workshop,Master,25-34,Female,Yes,Employed
114,9,2022-02-01,CV workshop,Upper secondary,25-34,Male,Yes,Employed
115,9,2025-07-01,Job placement,Bachelor,45-54,Male,No,Employed
116,7,2023-03-01,Skills training,Bachelor,18-24,Male,Yes,Employed
117,4,2022-04-01,Job placement,Master,35-44,Female,Yes,Still unemployed
118,3,2023-07-01,Language course,Doctorate,18-24,Male,No,Employed
119,6,2024-02-01,Employer matching,Bachelor,18-24,Male,Yes,Still unemployed
120,2,2023-07-01,Job placement,Upper secondary,25-34,Female,Yes,Training
121,8,2023-03-01,CV workshop,Doctorate,55+,Female,Yes,Employed
122,5,2024-10-01,Skills training,Upper secondary,25-34,Female,Yes,Training
123,6,2024-10-01,Language course,Bachelor,25-34,Male,Yes,Still unemployed
124,4,2025-12-01,Job placement,Doctorate,35-44,Male,Yes,Training
125,2,2022-07-01,CV workshop,Bachelor,45-54,Male,No,Still unemployed
