record_id,date,region_id,country_of_origin,sex,age_group,education_level,employment_status,activity_type
51,2022-01-01,4,China,Male,25-34,Upper secondary,Employed,Asylum application
55,2022-01-01,1,Guinea,Male,18-24,Bachelor,Unemployed,Asylum application
72,2022-01-01,1,Tunisia,Female,18-24,Upper secondary,Employed,Employment support
108,2022-01-01,3,Georgia,Male,18-24,Upper secondary,Employed,Language training
124,2022-01-01,3,Nigeria,Male,25-34,Upper secondary,Unemployed,Integration program
247,2022-01-01,10,China,Male,55+,Bachelor,Employed,Asylum application
264,2022-01-01,1,Afghanistan,Female,35-44,Lower secondary,Employed,Housing support
332,2022-01-01,1,Tunisia,Female,55+,Upper secondary,Inactive,Language training
339,2022-01-01,7,Turkey,Male,25-34,Lower secondary,Unemployed,Language training
367,2022-01-01,2,China,Male,25-34,Master,Unemployed,Language training
410,2022-01-01,3,Brazil,Female,25-34,Doctorate,Employed,Housing support
413,2022-01-01,7,Other,Female,25-34,Lower secondary,Unemployed,Employment support
458,2022-01-01,10,Afghanistan,Female,45-54,Bachelor,Employed,Employment support
597,2022-01-01,5,Morocco,Male,25-34,Bachelor,Unemployed,Language training
640,2022-01-01,4,Italy,Male,25-34,Master,Employed,Housing support
712,2022-01-01,7,India,Female,45-54,Bachelor,Employed,Asylum application
714,2022-01-01,2,Syria,Male,35-44,Master,Employed,Employment support
828,2022-01-01,1,Portugal,Male,45-54,Upper secondary,Employed,Integration program
830,2022-01-01,3,Colombia,Male,45-54,Upper secondary,Employed,Language training
971,2022-01-01,3,Afghanistan,Male,45-54,Upper secondary,Employed,Integration program
973,2022-01-01,2,Ukraine,Male,25-34,Lower secondary,Unemployed,Employment support
986,2022-01-01,1,Portugal,Female,35-44,Master,Employed,Integration program
1051,2022-01-01,7,Brazil,Female,55+,Bachelor,Employed,Integration program
1091,2022-01-01,5,Algeria,Male,35-44,Upper secondary,Employed,Integration program
1109,2022-01-01,7,Algeria,Female,25-34,Doctorate,Unemployed,Housing support
1128,2022-01-01,2,Bangladesh,Male,25-34,Bachelor,Employed,Language training
1149,2022-01-01,4,Georgia,Female,45-54,Bachelor,Employed,Employment support
1180,2022-01-01,4,Ukraine,Female,25-34,Upper secondary,Unemployed,Integration program
1193,2022-01-01,1,Algeria,Male,35-44,Master,Employed,Asylum application
1234,2022-01-01,5,Nigeria,Male,25-34,Bachelor,Employed,Employment support
1246,2022-01-01,1,Senegal,Male,55+,Upper secondary,Unemployed,Language training
1301,2022-01-01,7,Portugal,Female,25-34,Upper secondary,Unemployed,Employment support
1331,2022-01-01,5,Nigeria,Female,25-34,Master,Employed,Integration program
1366,2022-01-01,2,Georgia,Male,18-24,Bachelor,Employed,Integration program
1472,2022-01-01,2,Syria,Male,45-54,Upper secondary,Unemployed,Housing support
1511,2022-01-01,3,Afghanistan,Female,35-44,Lower secondary,Employed,Integration program
1524,2022-01-01,1,Italy,Male,25-34,Master,Employed,Integration program
1527,2022-01-01,6,India,Female,45-54,Upper secondary,Unemployed,Employment support
1531,2022-01-01,6,Other,Male,18-24,Upper secondary,Unemployed,Employment support
1539,2022-01-01,6,India,Female,18-24,Master,Employed,Language training
1558,2022-01-01,9,Ukraine,Female,25-34,Bachelor,Unemployed,Employment support
1576,2022-01-01,5,Afghanistan,Male,55+,Upper secondary,Inactive,Integration program
1611,2022-01-01,5,Turkey,Male,45-54,Upper secondary,Unemployed,Language training
1616,2022-01-01,6,China,Female,45-54,Upper secondary,Employed,Housing support
1675,2022-01-01,2,India,Female,25-34,Master,Employed,Housing support
1681,2022-01-01,5,Brazil,Male,55+,Master,Employed,Integration program
1695,2022-01-01,6,Côte d'Ivoire,Male,25-34,Bachelor,Employed,Language training
1744,2022-01-01,6,Guinea,Male,55+,Doctorate,Employed,Language training
1757,2022-01-01,2,Ukraine,Female,18-24,Lower secondary,Unemployed,Language training
1809,2022-01-01,2,Afghanistan,Male,55+,Upper secondary,Unemployed,Employment support
